,movie,year,imdb,metascore,votes,n_imdb
2053,Ted,2012,6.9,62,526836,69.0
2054,Argo,2012,7.7,86,522247,77.0
2055,Life of Pi,2012,7.9,79,517039,79.0
2056,The Amazing Spider-Man,2012,7.0,66,511649,70.0
2057,Looper,2012,7.4,84,488361,74.0
2058,21 Jump Street,2012,7.2,69,466170,72.0
2059,The Perks of Being a Wallflower,2012,8.0,67,412444,80.0
2060,The Cabin in the Woods,2012,7.0,72,328243,70.0
2061,Brave,2012,7.1,69,325331,71.0
2062,Wreck-It Ralph,2012,7.7,72,323866,77.0
2063,Cloud Atlas,2012,7.5,55,320360,75.0
2064,Men in Black 3,2012,6.8,58,299482,68.0
2065,Flight,2012,7.3,76,295709,73.0
2066,Moonrise Kingdom,2012,7.8,84,283360,78.0
2067,Les Misérables,2012,7.6,63,278396,76.0
2068,Jack Reacher,2012,7.0,50,276734,70.0
2069,The Expendables 2,2012,6.6,51,272424,66.0
2070,Taken 2,2012,6.3,45,267186,63.0
2071,The Bourne Legacy,2012,6.7,61,262853,67.0
2072,Snow White and the Huntsman,2012,6.1,57,254115,61.0
2073,Pitch Perfect,2012,7.2,66,248530,72.0
2074,The Dictator,2012,6.4,58,244390,64.0
2075,Zero Dark Thirty,2012,7.4,95,244273,74.0
2076,John Carter,2012,6.6,51,234432,66.0
2077,The Hunt,2012,8.3,77,230335,83.0
2078,Dredd,2012,7.1,60,230019,71.0
2079,Chronicle,2012,7.1,69,225602,71.0
2080,Total Recall,2012,6.3,43,224264,63.0
2081,Dark Shadows,2012,6.2,55,224247,62.0
2082,Lincoln,2012,7.4,86,223913,74.0
2083,Battleship,2012,5.8,41,222264,58.0
2084,The Place Beyond the Pines,2012,7.3,68,220643,73.0
2085,Seven Psychopaths,2012,7.2,66,217677,72.0
2086,Lawless,2012,7.3,58,209842,73.0
2087,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,52,209235,55.0
2088,End of Watch,2012,7.6,68,206965,76.0
2089,Hotel Transylvania,2012,7.1,47,198136,71.0
2090,Sinister,2012,6.8,53,192208,68.0
2091,American Reunion,2012,6.7,49,188619,67.0
2093,Project X,2012,6.7,48,174284,67.0
2094,The Dark Knight Rises,2012,8.4,78,1344442,84.0
2095,Django Unchained,2012,8.4,81,1166287,84.0
2096,The Avengers,2012,8.1,69,1135156,81.0
2097,The Hunger Games,2012,7.2,68,779774,72.0
2098,The Hobbit: An Unexpected Journey,2012,7.9,58,706304,79.0
2099,Silver Linings Playbook,2012,7.7,81,606270,77.0
2100,Skyfall,2012,7.8,81,580512,78.0
2101,Prometheus,2012,7.0,64,528075,70.0
2102,Ted,2012,6.9,62,526836,69.0
2103,Argo,2012,7.7,86,522247,77.0
2104,Life of Pi,2012,7.9,79,517039,79.0
2105,The Amazing Spider-Man,2012,7.0,66,511649,70.0
2106,Looper,2012,7.4,84,488361,74.0
2107,21 Jump Street,2012,7.2,69,466170,72.0
2108,The Perks of Being a Wallflower,2012,8.0,67,412444,80.0
2109,The Cabin in the Woods,2012,7.0,72,328243,70.0
2110,Brave,2012,7.1,69,325331,71.0
2111,Wreck-It Ralph,2012,7.7,72,323866,77.0
2112,Cloud Atlas,2012,7.5,55,320360,75.0
2113,Men in Black 3,2012,6.8,58,299482,68.0
2114,Flight,2012,7.3,76,295709,73.0
2115,Moonrise Kingdom,2012,7.8,84,283360,78.0
2116,Les Misérables,2012,7.6,63,278396,76.0
2117,Jack Reacher,2012,7.0,50,276734,70.0
2118,The Expendables 2,2012,6.6,51,272424,66.0
2119,Taken 2,2012,6.3,45,267186,63.0
2120,The Bourne Legacy,2012,6.7,61,262853,67.0
2121,Snow White and the Huntsman,2012,6.1,57,254115,61.0
2122,Pitch Perfect,2012,7.2,66,248530,72.0
2123,The Dictator,2012,6.4,58,244390,64.0
2124,Zero Dark Thirty,2012,7.4,95,244273,74.0
2125,John Carter,2012,6.6,51,234432,66.0
2126,The Hunt,2012,8.3,77,230335,83.0
2127,Dredd,2012,7.1,60,230019,71.0
2128,Chronicle,2012,7.1,69,225602,71.0
2129,Total Recall,2012,6.3,43,224264,63.0
2130,Dark Shadows,2012,6.2,55,224247,62.0
2131,Lincoln,2012,7.4,86,223913,74.0
2132,Battleship,2012,5.8,41,222264,58.0
2133,The Place Beyond the Pines,2012,7.3,68,220643,73.0
2134,Seven Psychopaths,2012,7.2,66,217677,72.0
2135,Lawless,2012,7.3,58,209842,73.0
2136,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,52,209235,55.0
2137,End of Watch,2012,7.6,68,206965,76.0
2138,Hotel Transylvania,2012,7.1,47,198136,71.0
2139,Sinister,2012,6.8,53,192208,68.0
2140,American Reunion,2012,6.7,49,188619,67.0
2142,Project X,2012,6.7,48,174284,67.0
2143,The Dark Knight Rises,2012,8.4,78,1344442,84.0
2144,Django Unchained,2012,8.4,81,1166287,84.0
2145,The Avengers,2012,8.1,69,1135156,81.0
2146,The Hunger Games,2012,7.2,68,779774,72.0
2147,The Hobbit: An Unexpected Journey,2012,7.9,58,706304,79.0
2148,Silver Linings Playbook,2012,7.7,81,606270,77.0
2149,Skyfall,2012,7.8,81,580512,78.0
2150,Prometheus,2012,7.0,64,528075,70.0
2151,Ted,2012,6.9,62,526836,69.0
2152,Argo,2012,7.7,86,522247,77.0
2153,Life of Pi,2012,7.9,79,517039,79.0
2154,The Amazing Spider-Man,2012,7.0,66,511649,70.0
2155,Looper,2012,7.4,84,488361,74.0
2156,21 Jump Street,2012,7.2,69,466170,72.0
2157,The Perks of Being a Wallflower,2012,8.0,67,412444,80.0
2158,The Cabin in the Woods,2012,7.0,72,328243,70.0
2159,Brave,2012,7.1,69,325331,71.0
2160,Wreck-It Ralph,2012,7.7,72,323866,77.0
2161,Cloud Atlas,2012,7.5,55,320360,75.0
2162,Men in Black 3,2012,6.8,58,299482,68.0
2163,Flight,2012,7.3,76,295709,73.0
2164,Moonrise Kingdom,2012,7.8,84,283360,78.0
2165,Les Misérables,2012,7.6,63,278396,76.0
2166,Jack Reacher,2012,7.0,50,276734,70.0
2167,The Expendables 2,2012,6.6,51,272424,66.0
2168,Taken 2,2012,6.3,45,267186,63.0
2169,The Bourne Legacy,2012,6.7,61,262853,67.0
2170,Snow White and the Huntsman,2012,6.1,57,254115,61.0
2171,Pitch Perfect,2012,7.2,66,248530,72.0
2172,The Dictator,2012,6.4,58,244390,64.0
2173,Zero Dark Thirty,2012,7.4,95,244273,74.0
2174,John Carter,2012,6.6,51,234432,66.0
2175,The Hunt,2012,8.3,77,230335,83.0
2176,Dredd,2012,7.1,60,230019,71.0
2177,Chronicle,2012,7.1,69,225602,71.0
2178,Total Recall,2012,6.3,43,224264,63.0
2179,Dark Shadows,2012,6.2,55,224247,62.0
2180,Lincoln,2012,7.4,86,223913,74.0
2181,Battleship,2012,5.8,41,222264,58.0
2182,The Place Beyond the Pines,2012,7.3,68,220643,73.0
2183,Seven Psychopaths,2012,7.2,66,217677,72.0
2184,Lawless,2012,7.3,58,209842,73.0
2185,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,52,209235,55.0
2186,End of Watch,2012,7.6,68,206965,76.0
2187,Hotel Transylvania,2012,7.1,47,198136,71.0
2188,Sinister,2012,6.8,53,192208,68.0
2189,American Reunion,2012,6.7,49,188619,67.0
2191,Project X,2012,6.7,48,174284,67.0
2192,The Wolf of Wall Street,2013,8.2,75,990699,82.0
2193,Gravity,2013,7.7,96,684497,77.0
2194,Iron Man 3,2013,7.2,62,657634,72.0
2195,Man of Steel,2013,7.1,55,628185,71.0
2196,The Hunger Games: Catching Fire,2013,7.5,76,562299,75.0
2197,12 Years a Slave,2013,8.1,96,557096,81.0
2198,The Hobbit: The Desolation of Smaug,2013,7.8,66,552724,78.0
2199,World War Z,2013,7.0,63,538004,70.0
2200,Now You See Me,2013,7.3,50,537374,73.0
2201,Thor: The Dark World,2013,7.0,54,509056,70.0
2202,Prisoners,2013,8.1,74,505156,81.0
2203,Frozen,2013,7.5,74,498903,75.0
2204,Her,2013,8.0,90,446816,80.0
2205,Oblivion,2013,7.0,54,441905,70.0
2206,Star Trek: Into Darkness,2013,7.7,72,439330,77.0
2207,Pacific Rim,2013,6.9,65,434937,69.0
2208,The Great Gatsby,2013,7.3,55,420504,73.0
2209,American Hustle,2013,7.3,90,408050,73.0
2210,Dallas Buyers Club,2013,8.0,84,390317,80.0
2211,The Wolverine,2013,6.7,61,388403,67.0
2212,Elysium,2013,6.6,61,386104,66.0
2213,Rush,2013,8.1,75,381272,81.0
2214,The Conjuring,2013,7.5,68,379038,75.0
2215,Captain Phillips,2013,7.8,83,377351,78.0
2216,We're the Millers,2013,7.0,44,362272,70.0
2217,This Is the End,2013,6.6,67,352420,66.0
2218,Fast & Furious 6,2013,7.1,61,339555,71.0
2219,Despicable Me 2,2013,7.4,62,333719,74.0
2220,Monsters University,2013,7.3,65,281489,73.0
2221,The Secret Life of Walter Mitty,2013,7.3,54,269647,73.0
2222,The Hangover Part III,2013,5.8,30,262088,58.0
2223,About Time,2013,7.8,55,250307,78.0
2224,Lone Survivor,2013,7.5,60,240154,75.0
2225,Kick-Ass 2,2013,6.6,41,232149,66.0
2226,Olympus Has Fallen,2013,6.5,41,230111,65.0
2227,Snowpiercer,2013,7.1,84,227575,71.0
2228,The World's End,2013,7.0,81,225397,70.0
2229,Don Jon,2013,6.6,66,212391,66.0
2230,Ender's Game,2013,6.6,51,206939,66.0
2231,Escape Plan,2013,6.7,49,206310,67.0
2232,Warm Bodies,2013,6.9,60,205262,69.0
2233,The Lone Ranger,2013,6.4,37,204524,64.0
2234,Gangster Squad,2013,6.7,40,192104,67.0
2235,Oz the Great and Powerful,2013,6.3,44,189605,63.0
2236,White House Down,2013,6.4,52,187180,64.0
2237,The Wolf of Wall Street,2013,8.2,75,990699,82.0
2238,Gravity,2013,7.7,96,684497,77.0
2239,Iron Man 3,2013,7.2,62,657634,72.0
2240,Man of Steel,2013,7.1,55,628185,71.0
2241,The Hunger Games: Catching Fire,2013,7.5,76,562299,75.0
2242,12 Years a Slave,2013,8.1,96,557096,81.0
2243,The Hobbit: The Desolation of Smaug,2013,7.8,66,552724,78.0
2244,World War Z,2013,7.0,63,538004,70.0
2245,Now You See Me,2013,7.3,50,537374,73.0
2246,Thor: The Dark World,2013,7.0,54,509056,70.0
2247,Prisoners,2013,8.1,74,505156,81.0
2248,Frozen,2013,7.5,74,498903,75.0
2249,Her,2013,8.0,90,446816,80.0
2250,Oblivion,2013,7.0,54,441905,70.0
2251,Star Trek: Into Darkness,2013,7.7,72,439330,77.0
2252,Pacific Rim,2013,6.9,65,434937,69.0
2253,The Great Gatsby,2013,7.3,55,420504,73.0
2254,American Hustle,2013,7.3,90,408050,73.0
2255,Dallas Buyers Club,2013,8.0,84,390317,80.0
2256,The Wolverine,2013,6.7,61,388403,67.0
2257,Elysium,2013,6.6,61,386104,66.0
2258,Rush,2013,8.1,75,381272,81.0
2259,The Conjuring,2013,7.5,68,379038,75.0
2260,Captain Phillips,2013,7.8,83,377351,78.0
2261,We're the Millers,2013,7.0,44,362272,70.0
2262,This Is the End,2013,6.6,67,352420,66.0
2263,Fast & Furious 6,2013,7.1,61,339555,71.0
2264,Despicable Me 2,2013,7.4,62,333719,74.0
2265,Monsters University,2013,7.3,65,281489,73.0
2266,The Secret Life of Walter Mitty,2013,7.3,54,269647,73.0
2267,The Hangover Part III,2013,5.8,30,262088,58.0
2268,About Time,2013,7.8,55,250307,78.0
2269,Lone Survivor,2013,7.5,60,240154,75.0
2270,Kick-Ass 2,2013,6.6,41,232149,66.0
2271,Olympus Has Fallen,2013,6.5,41,230111,65.0
2272,Snowpiercer,2013,7.1,84,227575,71.0
2273,The World's End,2013,7.0,81,225397,70.0
2274,Don Jon,2013,6.6,66,212391,66.0
2275,Ender's Game,2013,6.6,51,206939,66.0
2276,Escape Plan,2013,6.7,49,206310,67.0
2277,Warm Bodies,2013,6.9,60,205262,69.0
2278,The Lone Ranger,2013,6.4,37,204524,64.0
2279,Gangster Squad,2013,6.7,40,192104,67.0
2280,Oz the Great and Powerful,2013,6.3,44,189605,63.0
2281,White House Down,2013,6.4,52,187180,64.0
2282,The Wolf of Wall Street,2013,8.2,75,990699,82.0
2283,Gravity,2013,7.7,96,684497,77.0
2284,Iron Man 3,2013,7.2,62,657634,72.0
2285,Man of Steel,2013,7.1,55,628185,71.0
2286,The Hunger Games: Catching Fire,2013,7.5,76,562299,75.0
2287,12 Years a Slave,2013,8.1,96,557096,81.0
2288,The Hobbit: The Desolation of Smaug,2013,7.8,66,552724,78.0
2289,World War Z,2013,7.0,63,538004,70.0
2290,Now You See Me,2013,7.3,50,537374,73.0
2291,Thor: The Dark World,2013,7.0,54,509056,70.0
2292,Prisoners,2013,8.1,74,505156,81.0
2293,Frozen,2013,7.5,74,498903,75.0
2294,Her,2013,8.0,90,446816,80.0
2295,Oblivion,2013,7.0,54,441905,70.0
2296,Star Trek: Into Darkness,2013,7.7,72,439330,77.0
2297,Pacific Rim,2013,6.9,65,434937,69.0
2298,The Great Gatsby,2013,7.3,55,420504,73.0
2299,American Hustle,2013,7.3,90,408050,73.0
2300,Dallas Buyers Club,2013,8.0,84,390317,80.0
2301,The Wolverine,2013,6.7,61,388403,67.0
2302,Elysium,2013,6.6,61,386104,66.0
2303,Rush,2013,8.1,75,381272,81.0
2304,The Conjuring,2013,7.5,68,379038,75.0
2305,Captain Phillips,2013,7.8,83,377351,78.0
2306,We're the Millers,2013,7.0,44,362272,70.0
2307,This Is the End,2013,6.6,67,352420,66.0
2308,Fast & Furious 6,2013,7.1,61,339555,71.0
2309,Despicable Me 2,2013,7.4,62,333719,74.0
2310,Monsters University,2013,7.3,65,281489,73.0
2311,The Secret Life of Walter Mitty,2013,7.3,54,269647,73.0
2312,The Hangover Part III,2013,5.8,30,262088,58.0
2313,About Time,2013,7.8,55,250307,78.0
2314,Lone Survivor,2013,7.5,60,240154,75.0
2315,Kick-Ass 2,2013,6.6,41,232149,66.0
2316,Olympus Has Fallen,2013,6.5,41,230111,65.0
2317,Snowpiercer,2013,7.1,84,227575,71.0
2318,The World's End,2013,7.0,81,225397,70.0
2319,Don Jon,2013,6.6,66,212391,66.0
2320,Ender's Game,2013,6.6,51,206939,66.0
2321,Escape Plan,2013,6.7,49,206310,67.0
2322,Warm Bodies,2013,6.9,60,205262,69.0
2323,The Lone Ranger,2013,6.4,37,204524,64.0
2324,Gangster Squad,2013,6.7,40,192104,67.0
2325,Oz the Great and Powerful,2013,6.3,44,189605,63.0
2326,White House Down,2013,6.4,52,187180,64.0
2327,The Wolf of Wall Street,2013,8.2,75,990699,82.0
2328,Gravity,2013,7.7,96,684497,77.0
2329,Iron Man 3,2013,7.2,62,657634,72.0
2330,Man of Steel,2013,7.1,55,628185,71.0
2331,The Hunger Games: Catching Fire,2013,7.5,76,562299,75.0
2332,12 Years a Slave,2013,8.1,96,557096,81.0
2333,The Hobbit: The Desolation of Smaug,2013,7.8,66,552724,78.0
2334,World War Z,2013,7.0,63,538004,70.0
2335,Now You See Me,2013,7.3,50,537374,73.0
2336,Thor: The Dark World,2013,7.0,54,509056,70.0
2337,Prisoners,2013,8.1,74,505156,81.0
2338,Frozen,2013,7.5,74,498903,75.0
2339,Her,2013,8.0,90,446816,80.0
2340,Oblivion,2013,7.0,54,441905,70.0
2341,Star Trek: Into Darkness,2013,7.7,72,439330,77.0
2342,Pacific Rim,2013,6.9,65,434937,69.0
2343,The Great Gatsby,2013,7.3,55,420504,73.0
2344,American Hustle,2013,7.3,90,408050,73.0
2345,Dallas Buyers Club,2013,8.0,84,390317,80.0
2346,The Wolverine,2013,6.7,61,388403,67.0
2347,Elysium,2013,6.6,61,386104,66.0
2348,Rush,2013,8.1,75,381272,81.0
2349,The Conjuring,2013,7.5,68,379038,75.0
2350,Captain Phillips,2013,7.8,83,377351,78.0
2351,We're the Millers,2013,7.0,44,362272,70.0
2352,This Is the End,2013,6.6,67,352420,66.0
2353,Fast & Furious 6,2013,7.1,61,339555,71.0
2354,Despicable Me 2,2013,7.4,62,333719,74.0
2355,Monsters University,2013,7.3,65,281489,73.0
2356,The Secret Life of Walter Mitty,2013,7.3,54,269647,73.0
2357,The Hangover Part III,2013,5.8,30,262088,58.0
2358,About Time,2013,7.8,55,250307,78.0
2359,Lone Survivor,2013,7.5,60,240154,75.0
2360,Kick-Ass 2,2013,6.6,41,232149,66.0
2361,Olympus Has Fallen,2013,6.5,41,230111,65.0
2362,Snowpiercer,2013,7.1,84,227575,71.0
2363,The World's End,2013,7.0,81,225397,70.0
2364,Don Jon,2013,6.6,66,212391,66.0
2365,Ender's Game,2013,6.6,51,206939,66.0
2366,Escape Plan,2013,6.7,49,206310,67.0
2367,Warm Bodies,2013,6.9,60,205262,69.0
2368,The Lone Ranger,2013,6.4,37,204524,64.0
2369,Gangster Squad,2013,6.7,40,192104,67.0
2370,Oz the Great and Powerful,2013,6.3,44,189605,63.0
2371,White House Down,2013,6.4,52,187180,64.0
2372,Interstellar,2014,8.6,74,1233247,86.0
2373,Guardians of the Galaxy,2014,8.1,76,890272,81.0
2374,Gone Girl,2014,8.1,79,729968,81.0
2375,Captain America: The Winter Soldier,2014,7.8,70,624585,78.0
2376,The Grand Budapest Hotel,2014,8.1,88,609941,81.0
2377,X-Men: Days of Future Past,2014,8.0,75,600678,80.0
2378,The Imitation Game,2014,8.0,73,594639,80.0
2379,Whiplash,2014,8.5,88,582559,85.0
2380,Edge of Tomorrow,2014,7.9,71,527913,79.0
2381,Kingsman: The Secret Service,2014,7.7,60,525668,77.0
2382,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,498033,77.0
2383,The Hobbit: The Battle of the Five Armies,2014,7.4,59,425424,74.0
2384,John Wick,2014,7.3,68,406864,73.0
2385,Ex Machina,2014,7.7,78,404130,77.0
2386,Divergent,2014,6.7,48,390390,67.0
2387,Lucy,2014,6.4,61,390044,64.0
2388,American Sniper,2014,7.3,72,388971,73.0
2389,Nightcrawler,2014,7.9,76,386455,79.0
2390,Dawn of the Planet of the Apes,2014,7.6,79,380796,76.0
2391,The Amazing Spider-Man 2,2014,6.6,53,376286,66.0
2392,The Maze Runner,2014,6.8,57,375837,68.0
2393,Fury,2014,7.6,64,369174,76.0
2394,The Hunger Games: Mockingjay - Part 1,2014,6.7,64,366668,67.0
2395,Big Hero 6,2014,7.8,74,351997,78.0
2396,The Theory of Everything,2014,7.7,72,344184,77.0
2397,Godzilla,2014,6.4,62,338585,64.0
2398,22 Jump Street,2014,7.0,71,309921,70.0
2399,Boyhood,2014,7.9,100,309400,79.0
2400,The Fault in Our Stars,2014,7.7,69,304244,77.0
2401,Maleficent,2014,7.0,56,295428,70.0
2402,The Lego Movie,2014,7.8,83,291974,78.0
2403,The Equalizer,2014,7.2,57,287625,72.0
2404,The Interview,2014,6.6,52,280020,66.0
2405,Transformers: Age of Extinction,2014,5.7,32,276787,57.0
2406,How to Train Your Dragon 2,2014,7.8,76,261594,78.0
2407,Neighbors,2014,6.3,68,258625,63.0
2408,300: Rise of an Empire,2014,6.2,48,256186,62.0
2409,Non-Stop,2014,7.0,56,228937,70.0
2410,Noah,2014,5.8,68,223584,58.0
2411,Predestination,2014,7.5,69,217494,75.0
2412,RoboCop,2014,6.2,52,201957,62.0
2413,Transcendence,2014,6.3,42,200114,63.0
2414,Teenage Mutant Ninja Turtles,2014,5.8,31,189353,58.0
2415,It Follows,2014,6.9,83,173199,69.0
2416,Chef,2014,7.3,68,168611,73.0
2417,Interstellar,2014,8.6,74,1233247,86.0
2418,Guardians of the Galaxy,2014,8.1,76,890272,81.0
2419,Gone Girl,2014,8.1,79,729968,81.0
2420,Captain America: The Winter Soldier,2014,7.8,70,624585,78.0
2421,The Grand Budapest Hotel,2014,8.1,88,609941,81.0
2422,X-Men: Days of Future Past,2014,8.0,75,600678,80.0
2423,The Imitation Game,2014,8.0,73,594639,80.0
2424,Whiplash,2014,8.5,88,582559,85.0
2425,Edge of Tomorrow,2014,7.9,71,527913,79.0
2426,Kingsman: The Secret Service,2014,7.7,60,525668,77.0
2427,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,498033,77.0
2428,The Hobbit: The Battle of the Five Armies,2014,7.4,59,425424,74.0
2429,John Wick,2014,7.3,68,406864,73.0
2430,Ex Machina,2014,7.7,78,404130,77.0
2431,Divergent,2014,6.7,48,390390,67.0
2432,Lucy,2014,6.4,61,390044,64.0
2433,American Sniper,2014,7.3,72,388971,73.0
2434,Nightcrawler,2014,7.9,76,386455,79.0
2435,Dawn of the Planet of the Apes,2014,7.6,79,380796,76.0
2436,The Amazing Spider-Man 2,2014,6.6,53,376286,66.0
2437,The Maze Runner,2014,6.8,57,375837,68.0
2438,Fury,2014,7.6,64,369174,76.0
2439,The Hunger Games: Mockingjay - Part 1,2014,6.7,64,366668,67.0
2440,Big Hero 6,2014,7.8,74,351997,78.0
2441,The Theory of Everything,2014,7.7,72,344184,77.0
2442,Godzilla,2014,6.4,62,338585,64.0
2443,22 Jump Street,2014,7.0,71,309921,70.0
2444,Boyhood,2014,7.9,100,309400,79.0
2445,The Fault in Our Stars,2014,7.7,69,304244,77.0
2446,Maleficent,2014,7.0,56,295428,70.0
2447,The Lego Movie,2014,7.8,83,291974,78.0
2448,The Equalizer,2014,7.2,57,287625,72.0
2449,The Interview,2014,6.6,52,280020,66.0
2450,Transformers: Age of Extinction,2014,5.7,32,276787,57.0
2451,How to Train Your Dragon 2,2014,7.8,76,261594,78.0
2452,Neighbors,2014,6.3,68,258625,63.0
2453,300: Rise of an Empire,2014,6.2,48,256186,62.0
2454,Non-Stop,2014,7.0,56,228937,70.0
2455,Noah,2014,5.8,68,223584,58.0
2456,Predestination,2014,7.5,69,217494,75.0
2457,RoboCop,2014,6.2,52,201957,62.0
2458,Transcendence,2014,6.3,42,200114,63.0
2459,Teenage Mutant Ninja Turtles,2014,5.8,31,189353,58.0
2460,It Follows,2014,6.9,83,173199,69.0
2461,Chef,2014,7.3,68,168611,73.0
2462,Interstellar,2014,8.6,74,1233247,86.0
2463,Guardians of the Galaxy,2014,8.1,76,890272,81.0
2464,Gone Girl,2014,8.1,79,729968,81.0
2465,Captain America: The Winter Soldier,2014,7.8,70,624585,78.0
2466,The Grand Budapest Hotel,2014,8.1,88,609941,81.0
2467,X-Men: Days of Future Past,2014,8.0,75,600678,80.0
2468,The Imitation Game,2014,8.0,73,594639,80.0
2469,Whiplash,2014,8.5,88,582559,85.0
2470,Edge of Tomorrow,2014,7.9,71,527913,79.0
2471,Kingsman: The Secret Service,2014,7.7,60,525668,77.0
2472,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,498033,77.0
2473,The Hobbit: The Battle of the Five Armies,2014,7.4,59,425424,74.0
2474,John Wick,2014,7.3,68,406864,73.0
2475,Ex Machina,2014,7.7,78,404130,77.0
2476,Divergent,2014,6.7,48,390390,67.0
2477,Lucy,2014,6.4,61,390044,64.0
2478,American Sniper,2014,7.3,72,388971,73.0
2479,Nightcrawler,2014,7.9,76,386455,79.0
2480,Dawn of the Planet of the Apes,2014,7.6,79,380796,76.0
2481,The Amazing Spider-Man 2,2014,6.6,53,376286,66.0
2482,The Maze Runner,2014,6.8,57,375837,68.0
2483,Fury,2014,7.6,64,369174,76.0
2484,The Hunger Games: Mockingjay - Part 1,2014,6.7,64,366668,67.0
2485,Big Hero 6,2014,7.8,74,351997,78.0
2486,The Theory of Everything,2014,7.7,72,344184,77.0
2487,Godzilla,2014,6.4,62,338585,64.0
2488,22 Jump Street,2014,7.0,71,309921,70.0
2489,Boyhood,2014,7.9,100,309400,79.0
2490,The Fault in Our Stars,2014,7.7,69,304244,77.0
2491,Maleficent,2014,7.0,56,295428,70.0
2492,The Lego Movie,2014,7.8,83,291974,78.0
2493,The Equalizer,2014,7.2,57,287625,72.0
2494,The Interview,2014,6.6,52,280020,66.0
2495,Transformers: Age of Extinction,2014,5.7,32,276787,57.0
2496,How to Train Your Dragon 2,2014,7.8,76,261594,78.0
2497,Neighbors,2014,6.3,68,258625,63.0
2498,300: Rise of an Empire,2014,6.2,48,256186,62.0
2499,Non-Stop,2014,7.0,56,228937,70.0
2500,Noah,2014,5.8,68,223584,58.0
2501,Predestination,2014,7.5,69,217494,75.0
2502,RoboCop,2014,6.2,52,201957,62.0
2503,Transcendence,2014,6.3,42,200114,63.0
2504,Teenage Mutant Ninja Turtles,2014,5.8,31,189353,58.0
2505,It Follows,2014,6.9,83,173199,69.0
2506,Chef,2014,7.3,68,168611,73.0
2507,Interstellar,2014,8.6,74,1233247,86.0
2508,Guardians of the Galaxy,2014,8.1,76,890272,81.0
2509,Gone Girl,2014,8.1,79,729968,81.0
2510,Captain America: The Winter Soldier,2014,7.8,70,624585,78.0
2511,The Grand Budapest Hotel,2014,8.1,88,609941,81.0
2512,X-Men: Days of Future Past,2014,8.0,75,600678,80.0
2513,The Imitation Game,2014,8.0,73,594639,80.0
2514,Whiplash,2014,8.5,88,582559,85.0
2515,Edge of Tomorrow,2014,7.9,71,527913,79.0
2516,Kingsman: The Secret Service,2014,7.7,60,525668,77.0
2517,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,498033,77.0
2518,The Hobbit: The Battle of the Five Armies,2014,7.4,59,425424,74.0
2519,John Wick,2014,7.3,68,406864,73.0
2520,Ex Machina,2014,7.7,78,404130,77.0
2521,Divergent,2014,6.7,48,390390,67.0
2522,Lucy,2014,6.4,61,390044,64.0
2523,American Sniper,2014,7.3,72,388971,73.0
2524,Nightcrawler,2014,7.9,76,386455,79.0
2525,Dawn of the Planet of the Apes,2014,7.6,79,380796,76.0
2526,The Amazing Spider-Man 2,2014,6.6,53,376286,66.0
2527,The Maze Runner,2014,6.8,57,375837,68.0
2528,Fury,2014,7.6,64,369174,76.0
2529,The Hunger Games: Mockingjay - Part 1,2014,6.7,64,366668,67.0
2530,Big Hero 6,2014,7.8,74,351997,78.0
2531,The Theory of Everything,2014,7.7,72,344184,77.0
2532,Godzilla,2014,6.4,62,338585,64.0
2533,22 Jump Street,2014,7.0,71,309921,70.0
2534,Boyhood,2014,7.9,100,309400,79.0
2535,The Fault in Our Stars,2014,7.7,69,304244,77.0
2536,Maleficent,2014,7.0,56,295428,70.0
2537,The Lego Movie,2014,7.8,83,291974,78.0
2538,The Equalizer,2014,7.2,57,287625,72.0
2539,The Interview,2014,6.6,52,280020,66.0
2540,Transformers: Age of Extinction,2014,5.7,32,276787,57.0
2541,How to Train Your Dragon 2,2014,7.8,76,261594,78.0
2542,Neighbors,2014,6.3,68,258625,63.0
2543,300: Rise of an Empire,2014,6.2,48,256186,62.0
2544,Non-Stop,2014,7.0,56,228937,70.0
2545,Noah,2014,5.8,68,223584,58.0
2546,Predestination,2014,7.5,69,217494,75.0
2547,RoboCop,2014,6.2,52,201957,62.0
2548,Transcendence,2014,6.3,42,200114,63.0
2549,Teenage Mutant Ninja Turtles,2014,5.8,31,189353,58.0
2550,It Follows,2014,6.9,83,173199,69.0
2551,Chef,2014,7.3,68,168611,73.0
2552,Star Wars: The Force Awakens,2015,8.0,81,761440,80.0
2553,Mad Max: Fury Road,2015,8.1,90,747638,81.0
2554,The Martian,2015,8.0,80,646354,80.0
2555,Avengers: Age of Ultron,2015,7.4,66,615007,74.0
2556,The Revenant,2015,8.0,76,586291,80.0
2557,Jurassic World,2015,7.0,59,520686,70.0
2558,Inside Out,2015,8.2,94,508678,82.0
2559,Ant-Man,2015,7.3,64,459940,73.0
2560,The Hateful Eight,2015,7.8,68,411103,78.0
2561,Spotlight,2015,8.1,93,344417,81.0
2562,Spectre,2015,6.8,60,342294,68.0
2563,Furious 7,2015,7.2,67,327230,72.0
